actual_class,total,correct,errors,error_rate
Administrative rights,351,277,74,0.21082621082621084
HR Support,2174,1830,344,0.15823367065317387
Miscellaneous,1406,1208,198,0.14082503556187767
Access,1419,1225,194,0.13671599718111346
Hardware,2712,2346,366,0.13495575221238937
Internal Project,422,367,55,0.13033175355450238
Purchase,491,429,62,0.12627291242362526
Storage,553,485,68,0.12296564195298372
