confidence_band,total,correct,mean_confidence,errors,accuracy,error_rate
below_0.60,2450,1490,0.4583279166599624,960,0.6081632653061224,0.39183673469387753
0.60_to_0.75,1353,1128,0.6758232682797839,225,0.8337028824833703,0.1662971175166297
0.75_to_0.90,1617,1493,0.83071384275005,124,0.9233147804576376,0.0766852195423624
0.90_to_1.00,4108,4056,0.9732805336517479,52,0.9873417721518988,0.012658227848101266
