actual_class,total,correct,errors,error_rate
Administrative rights,351,237,114,0.3247863247863248
Internal Project,422,324,98,0.23222748815165878
Storage,553,450,103,0.18625678119349007
Miscellaneous,1406,1184,222,0.15789473684210525
Access,1419,1208,211,0.14869626497533475
Purchase,491,421,70,0.1425661914460285
HR Support,2174,1866,308,0.14167433302667892
Hardware,2712,2444,268,0.09882005899705015
