confidence_band,total,correct,mean_confidence,errors,accuracy,error_rate
below_0.60,2202,1291,0.46592689050375413,911,0.5862851952770209,0.4137148047229791
0.60_to_0.75,1356,1077,0.675192198595946,279,0.7942477876106194,0.20575221238938052
0.75_to_0.90,1720,1581,0.8301050026775628,139,0.9191860465116279,0.08081395348837209
0.90_to_1.00,4250,4185,0.9726513604092706,65,0.9847058823529412,0.015294117647058824
