class,rank,feature,coefficient,validation_documents_with_feature,predicted_as_class_with_feature,correct_predictions_with_feature,false_positives_with_feature,precision_when_feature_and_prediction
Storage,13,size,3.7248263894586033,75,45,44,1,0.9777777777777777
Storage,14,archive,3.720566802634818,42,22,21,1,0.9545454545454546
Purchase,7,devices,3.548157091167385,65,7,6,1,0.8571428571428571
Hardware,10,backpack,3.529569403673255,42,28,27,1,0.9642857142857143
Internal Project,11,known,3.0655182503132137,61,26,25,1,0.9615384615384616
Purchase,10,allocation,2.906060037868026,231,165,164,1,0.9939393939393939
Administrative rights,12,server,2.600027336830884,189,4,3,1,0.75
Internal Project,15,oracle,2.182227235982819,769,80,79,1,0.9875
Access,7,git,8.317026736822315,79,65,65,0,1.0
Hardware,7,ram,4.124257238895307,24,20,20,0,1.0
Storage,9,increase,4.025291307017362,83,56,56,0,1.0
Internal Project,7,pipelines,3.966255766914805,9,5,5,0,1.0
Storage,12,mailboxes,3.748300872588192,9,4,4,0,1.0
Storage,15,share,3.637724324057308,158,37,37,0,1.0
Administrative rights,7,exchange,3.5039331668032183,20,1,1,0,1.0
Internal Project,8,import,3.423633382658789,49,17,17,0,1.0
Administrative rights,10,assets,3.21872105634158,101,25,25,0,1.0
Purchase,9,receipt,3.1955909086582523,58,46,46,0,1.0
Internal Project,10,unknown,3.174311269524297,27,7,7,0,1.0
Administrative rights,14,again,2.4854555995338736,318,11,11,0,1.0
Purchase,13,items,2.44478084577252,148,61,61,0,1.0
Administrative rights,15,credentials,2.3974881029003874,237,13,13,0,1.0
Purchase,15,requisitions,2.364648310002171,12,2,2,0,1.0
