actual_class,total,correct,errors,error_rate
Hardware,2712,2207,505,0.1862094395280236
HR Support,2174,1794,380,0.17479300827966882
Miscellaneous,1406,1227,179,0.12731152204836416
Access,1419,1240,179,0.12614517265680056
Administrative rights,351,313,38,0.10826210826210826
Purchase,491,441,50,0.10183299389002037
Storage,553,509,44,0.07956600361663653
Internal Project,422,394,28,0.06635071090047394
