confidence_band,total,correct,mean_confidence,errors,accuracy,error_rate
below_0.60,2806,1796,0.4461604513903012,1010,0.6400570206699929,0.35994297933000713
0.60_to_0.75,1317,1099,0.6774063409684287,218,0.8344722854973424,0.16552771450265755
0.75_to_0.90,1582,1461,0.829390063151384,121,0.9235145385587863,0.07648546144121365
0.90_to_1.00,3823,3769,0.9734039661111639,54,0.985874967303165,0.014125032696834947
